Komoditi,Tanggal, Harga Petani , Harga Pengecer 
Jagung Pipil Kering,6/20/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/21/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/22/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/23/2022," Rp4,000.00 "," Rp4,150.00 "
Jagung Pipil Kering,6/24/2022," Rp4,000.00 "," Rp4,150.00 "
Jagung Pipil Kering,6/25/2022,,
Jagung Pipil Kering,6/26/2022,,
Jagung Pipil Kering,6/27/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/28/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/29/2022," Rp3,600.00 "," Rp3,800.00 "
Jagung Pipil Kering,6/30/2022," Rp3,600.00 "," Rp3,800.00 "
Jagung Pipil Kering,7/1/2022,,
Jagung Pipil Kering,7/2/2022,,
Jagung Pipil Kering,7/3/2022,,
Jagung Pipil Kering,7/4/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,7/5/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,7/6/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,7/7/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,7/8/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,7/9/2022,,
Jagung Pipil Kering,7/10/2022,,
Jagung Pipil Kering,7/11/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/12/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/13/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/14/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/15/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/16/2022,,
Jagung Pipil Kering,7/17/2022,,
Jagung Pipil Kering,7/18/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/19/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/20/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/21/2022," Rp3,300.00 "," Rp3,600.00 "
Jagung Pipil Kering,7/22/2022," Rp3,400.00 "," Rp3,700.00 "
Jagung Pipil Kering,7/23/2022,,
Jagung Pipil Kering,7/24/2022,,
Jagung Pipil Kering,7/25/2022," Rp3,500.00 "," Rp3,800.00 "
Jagung Pipil Kering,7/26/2022," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,7/27/2022," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,7/28/2022," Rp3,600.00 "," Rp3,950.00 "
Jagung Pipil Kering,7/29/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,7/30/2022,,
Jagung Pipil Kering,7/31/2022,,
Jagung Pipil Kering,8/1/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/2/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/3/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/4/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/5/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/6/2022,,
Jagung Pipil Kering,8/7/2022,,
Jagung Pipil Kering,8/8/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/9/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/10/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/11/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/12/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,8/13/2022,,
Jagung Pipil Kering,8/14/2022,,
Jagung Pipil Kering,8/15/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/16/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/17/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/18/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/19/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/20/2022,,
